ANO_OID,ANO_PUBLIC_ID,OLD_NAME,NEW_NAME,SYN_SYNONYM
10381,EMAPA:16367,genitourinary system,genitourinary system,urogenital system
10396,EMAPA:16369,presumptive nephric duct,presumptive nephric duct,Wolffian duct
10407,EMAPA:16577,nephric duct,nephric duct,Wolffian duct
10462,EMAPA:16857,gonad,gonad,gonad primordium
10473,EMAPA:27566,anterior gonadal mesenchyme,anterior gonadal mesenchyme,rostral gonadal mesenchyme
10482,EMAPA:27570,posterior gonadal mesenchyme,posterior gonadal mesenchyme,caudal gonadal mesenchyme
10492,EMAPA:27564,coelomic epithelium,coelomic epithelium,germinal epithelium
10519,EMAPA:27605,ureteric tip,ureteric tip,ureteric ampulla
10523,EMAPA:27608,ureteric trunk,ureteric trunk,ureteric stalk
10541,EMAPA:27577,cloacal epithelium,cloacal epithelium,distal urethral epithelium
10550,EMAPA:27599,"nephric duct, metanephric portion","nephric duct, metanephric portion","mesonephric duct, metanephric portion"
10550,EMAPA:27599,"nephric duct, metanephric portion","nephric duct, metanephric portion","mesonephric duct, metanephric portion"
11719,EMAPA:17373,metanephros,metanephros,kidney
11750,EMAPA:27621,cap mesenchyme,cap mesenchyme,condensed mesenchyme
11760,EMAPA:27625,ureteric tip,ureteric tip,ureteric ampulla
11764,EMAPA:27627,ureteric stalk,ureteric stalk,ureteric trunk
11768,EMAPA:17645,cap mesenchyme,cap mesenchyme,condensed mesenchyme
11768,EMAPA:17645,cap mesenchyme,cap mesenchyme,condensed mesenchyme
11775,EMAPA:27694,ureteric tip,ureteric tip,ampulla
11775,EMAPA:27694,ureteric tip,ureteric tip,ampulla
11779,EMAPA:27697,ureteric trunk,ureteric trunk,ureteric stalk
11912,EMAPA:27671,nephrogenic interstitium,nephrogenic interstitium,peripheral blastema
11932,EMAPA:27684,upper limb of comma-shaped body,upper limb of comma-shaped body,distal limb of comma-shaped body
11932,EMAPA:27684,upper limb of comma-shaped body,upper limb of comma-shaped body,distal limb of comma-shaped body
11936,EMAPA:27687,lower limb of comma-shaped body,lower limb of comma-shaped body,proximal limb of comma-shaped body
11936,EMAPA:27687,lower limb of comma-shaped body,lower limb of comma-shaped body,proximal limb of comma-shaped body
11940,EMAPA:27756,s-shaped body,s-shaped body,stage II nephron
11940,EMAPA:27756,s-shaped body,s-shaped body,stage II nephron
11947,EMAPA:27760,distal segment of s-shaped body,distal segment of s-shaped body,upper limb of s-shaped body
11947,EMAPA:27760,distal segment of s-shaped body,distal segment of s-shaped body,upper limb of s-shaped body
11951,EMAPA:27762,medial segment of s-shaped body,medial segment of s-shaped body,mid-portion of s-shaped body
11951,EMAPA:27762,medial segment of s-shaped body,medial segment of s-shaped body,mid-portion of s-shaped body
11955,EMAPA:27764,proximal segment of s-shaped body,proximal segment of s-shaped body,lower limb of s-shaped body
11955,EMAPA:27764,proximal segment of s-shaped body,proximal segment of s-shaped body,lower limb of s-shaped body
11965,EMAPA:27770,capillary loop renal corpuscle,capillary loop renal corpuscle,renal corpuscle of the stage III nephron
11965,EMAPA:27770,capillary loop renal corpuscle,capillary loop renal corpuscle,renal corpuscle of the stage III nephron
11969,EMAPA:27772,visceral epithelium of capillary loop renal corpuscle,visceral epithelium of capillary loop renal corpuscle,podocyte layer
11969,EMAPA:27772,visceral epithelium of capillary loop renal corpuscle,visceral epithelium of capillary loop renal corpuscle,podocyte layer
11985,EMAPA:27782,renal tubule,renal tubule,renal tubule of capillary loop nephron 
11985,EMAPA:27782,renal tubule,renal tubule,renal tubule of capillary loop nephron 
11988,EMAPA:27784,early proximal tubule,early proximal tubule,early proximal tubule of capillary loop nephron
11988,EMAPA:27784,early proximal tubule,early proximal tubule,early proximal tubule of capillary loop nephron
11994,EMAPA:27788,early distal tubule,early distal tubule,early distal tubule of capillary loop nephron 
11994,EMAPA:27788,early distal tubule,early distal tubule,early distal tubule of capillary loop nephron 
11997,EMAPA:27790,renal connecting tubule,renal connecting tubule,renal connecting tubule of capillary loop nephron 
11997,EMAPA:27790,renal connecting tubule,renal connecting tubule,renal connecting tubule of capillary loop nephron 
12039,EMAPA:27735,cap mesenchyme,cap mesenchyme,condensed mesenchyme
12048,EMAPA:27742,pretubular aggregate,pretubular aggregate,pretubular condensate
12057,EMAPA:27749,ureteric tip,ureteric tip,ureteric ampulla
12057,EMAPA:27749,ureteric tip,ureteric tip,ureteric ampulla
12057,EMAPA:27749,ureteric tip,ureteric tip,ureteric ampulla
12074,EMAPA:28077,pelvic urothelial lining,pelvic urothelial lining,pelvic urothelium
12124,EMAPA:27841,upper limb of comma-shaped body,upper limb of comma-shaped body,distal limb of comma-shaped body
12124,EMAPA:27841,upper limb of comma-shaped body,upper limb of comma-shaped body,distal limb of comma-shaped body
12124,EMAPA:27841,upper limb of comma-shaped body,upper limb of comma-shaped body,distal limb of comma-shaped body
12131,EMAPA:27847,lower limb of comma-shaped body,lower limb of comma-shaped body,proximal limb of comma-shaped body
12131,EMAPA:27847,lower limb of comma-shaped body,lower limb of comma-shaped body,proximal limb of comma-shaped body
12131,EMAPA:27847,lower limb of comma-shaped body,lower limb of comma-shaped body,proximal limb of comma-shaped body
12138,EMAPA:27853,s-shaped body,s-shaped body,stage II nephron
12138,EMAPA:27853,s-shaped body,s-shaped body,stage II nephron
12138,EMAPA:27853,s-shaped body,s-shaped body,stage II nephron
12153,EMAPA:27871,distal segment of s-shaped body,distal segment of s-shaped body,upper limb of s-shaped body
12153,EMAPA:27871,distal segment of s-shaped body,distal segment of s-shaped body,upper limb of s-shaped body
12153,EMAPA:27871,distal segment of s-shaped body,distal segment of s-shaped body,upper limb of s-shaped body
12161,EMAPA:27877,medial segment of s-shaped body,medial segment of s-shaped body,mid-portion of s-shaped body
12161,EMAPA:27877,medial segment of s-shaped body,medial segment of s-shaped body,mid-portion of s-shaped body
12161,EMAPA:27877,medial segment of s-shaped body,medial segment of s-shaped body,mid-portion of s-shaped body
12169,EMAPA:27883,proximal segment of s-shaped body,proximal segment of s-shaped body,lower limb of s-shaped body
12169,EMAPA:27883,proximal segment of s-shaped body,proximal segment of s-shaped body,lower limb of s-shaped body
12169,EMAPA:27883,proximal segment of s-shaped body,proximal segment of s-shaped body,lower limb of s-shaped body
12191,EMAPA:27907,capillary loop renal corpuscle,capillary loop renal corpuscle,renal corpuscle of the stage III nephron
12191,EMAPA:27907,capillary loop renal corpuscle,capillary loop renal corpuscle,renal corpuscle of the stage III nephron
12191,EMAPA:27907,capillary loop renal corpuscle,capillary loop renal corpuscle,renal corpuscle of the stage III nephron
12191,EMAPA:27907,capillary loop renal corpuscle,capillary loop renal corpuscle,renal corpuscle of the stage III nephron
12199,EMAPA:27913,visceral epithelium of capillary loop renal corpuscle,visceral epithelium of capillary loop renal corpuscle,podocyte layer
12199,EMAPA:27913,visceral epithelium of capillary loop renal corpuscle,visceral epithelium of capillary loop renal corpuscle,podocyte layer
12199,EMAPA:27913,visceral epithelium of capillary loop renal corpuscle,visceral epithelium of capillary loop renal corpuscle,podocyte layer
12199,EMAPA:27913,visceral epithelium of capillary loop renal corpuscle,visceral epithelium of capillary loop renal corpuscle,podocyte layer
12235,EMAPA:27943,maturing renal corpuscle,maturing renal corpuscle,renal corpuscle of Stage IV nephron
12235,EMAPA:27943,maturing renal corpuscle,maturing renal corpuscle,renal corpuscle of Stage IV nephron
12235,EMAPA:27943,maturing renal corpuscle,maturing renal corpuscle,renal corpuscle of Stage IV nephron
12235,EMAPA:27943,maturing renal corpuscle,maturing renal corpuscle,renal corpuscle of Stage IV nephron
12235,EMAPA:27943,maturing renal corpuscle,maturing renal corpuscle,renal corpuscle of Stage IV nephron
12242,EMAPA:27949,maturing glomerular tuft,maturing glomerular tuft,maturing glomerulus
12242,EMAPA:27949,maturing glomerular tuft,maturing glomerular tuft,maturing glomerulus
12242,EMAPA:27949,maturing glomerular tuft,maturing glomerular tuft,maturing glomerulus
12242,EMAPA:27949,maturing glomerular tuft,maturing glomerular tuft,maturing glomerulus
12242,EMAPA:27949,maturing glomerular tuft,maturing glomerular tuft,maturing glomerulus
12264,EMAPA:27967,visceral epithelium of maturing renal corpuscle,visceral epithelium of maturing renal corpuscle,podocyte layer
12264,EMAPA:27967,visceral epithelium of maturing renal corpuscle,visceral epithelium of maturing renal corpuscle,podocyte layer
12264,EMAPA:27967,visceral epithelium of maturing renal corpuscle,visceral epithelium of maturing renal corpuscle,podocyte layer
12264,EMAPA:27967,visceral epithelium of maturing renal corpuscle,visceral epithelium of maturing renal corpuscle,podocyte layer
12264,EMAPA:27967,visceral epithelium of maturing renal corpuscle,visceral epithelium of maturing renal corpuscle,podocyte layer
12272,EMAPA:27973,Bowman's capsule,Bowman's capsule,glomerular capsule
12272,EMAPA:27973,Bowman's capsule,Bowman's capsule,glomerular capsule
12272,EMAPA:27973,Bowman's capsule,Bowman's capsule,glomerular capsule
12272,EMAPA:27973,Bowman's capsule,Bowman's capsule,glomerular capsule
12272,EMAPA:27973,Bowman's capsule,Bowman's capsule,glomerular capsule
12287,EMAPA:27985,urinary space of renal corpuscle,urinary space of renal corpuscle,Bowman's space
12287,EMAPA:27985,urinary space of renal corpuscle,urinary space of renal corpuscle,Bowman's space
12287,EMAPA:27985,urinary space of renal corpuscle,urinary space of renal corpuscle,Bowman's space
12287,EMAPA:27985,urinary space of renal corpuscle,urinary space of renal corpuscle,Bowman's space
12287,EMAPA:27985,urinary space of renal corpuscle,urinary space of renal corpuscle,Bowman's space
12349,EMAPA:28287,renal proximal convoluted tubule,renal proximal convoluted tubule,first convoluted tubule
12349,EMAPA:28287,renal proximal convoluted tubule,renal proximal convoluted tubule,first convoluted tubule
12349,EMAPA:28287,renal proximal convoluted tubule,renal proximal convoluted tubule,first convoluted tubule
12349,EMAPA:28287,renal proximal convoluted tubule,renal proximal convoluted tubule,first convoluted tubule
12349,EMAPA:28287,renal proximal convoluted tubule,renal proximal convoluted tubule,first convoluted tubule
12349,EMAPA:28287,renal proximal convoluted tubule,renal proximal convoluted tubule,first convoluted tubule
12349,EMAPA:28287,renal proximal convoluted tubule,renal proximal convoluted tubule,first convoluted tubule
12349,EMAPA:28287,renal proximal convoluted tubule,renal proximal convoluted tubule,first convoluted tubule
12349,EMAPA:28287,renal proximal convoluted tubule,renal proximal convoluted tubule,first convoluted tubule
12349,EMAPA:28287,renal proximal convoluted tubule,renal proximal convoluted tubule,first convoluted tubule
12349,EMAPA:28287,renal proximal convoluted tubule,renal proximal convoluted tubule,first convoluted tubule
12349,EMAPA:28287,renal proximal convoluted tubule,renal proximal convoluted tubule,first convoluted tubule
12362,EMAPA:28393,distal convoluted tubule,distal convoluted tubule,second convoluted tubule
12362,EMAPA:28393,distal convoluted tubule,distal convoluted tubule,second convoluted tubule
12362,EMAPA:28393,distal convoluted tubule,distal convoluted tubule,second convoluted tubule
12362,EMAPA:28393,distal convoluted tubule,distal convoluted tubule,second convoluted tubule
12362,EMAPA:28393,distal convoluted tubule,distal convoluted tubule,second convoluted tubule
12362,EMAPA:28393,distal convoluted tubule,distal convoluted tubule,second convoluted tubule
12362,EMAPA:28393,distal convoluted tubule,distal convoluted tubule,second convoluted tubule
12362,EMAPA:28393,distal convoluted tubule,distal convoluted tubule,second convoluted tubule
12362,EMAPA:28393,distal convoluted tubule,distal convoluted tubule,second convoluted tubule
12362,EMAPA:28393,distal convoluted tubule,distal convoluted tubule,second convoluted tubule
12362,EMAPA:28393,distal convoluted tubule,distal convoluted tubule,second convoluted tubule
12362,EMAPA:28393,distal convoluted tubule,distal convoluted tubule,second convoluted tubule
12367,EMAPA:28396,distal straight tubule,distal straight tubule,thick ascending limb
12367,EMAPA:28396,distal straight tubule,distal straight tubule,thick ascending limb
12367,EMAPA:28396,distal straight tubule,distal straight tubule,thick ascending limb
12367,EMAPA:28396,distal straight tubule,distal straight tubule,thick ascending limb
12367,EMAPA:28396,distal straight tubule,distal straight tubule,thick ascending limb
12367,EMAPA:28396,distal straight tubule,distal straight tubule,thick ascending limb
12367,EMAPA:28396,distal straight tubule,distal straight tubule,thick ascending limb
12367,EMAPA:28396,distal straight tubule,distal straight tubule,thick ascending limb
12367,EMAPA:28396,distal straight tubule,distal straight tubule,thick ascending limb
12367,EMAPA:28396,distal straight tubule,distal straight tubule,thick ascending limb
12367,EMAPA:28396,distal straight tubule,distal straight tubule,thick ascending limb
12367,EMAPA:28396,distal straight tubule,distal straight tubule,thick ascending limb
12392,EMAPA:28236,mature renal corpuscle,mature renal corpuscle,Malpighian corpuscle
12392,EMAPA:28236,mature renal corpuscle,mature renal corpuscle,Malpighian corpuscle
12392,EMAPA:28236,mature renal corpuscle,mature renal corpuscle,Malpighian corpuscle
12397,EMAPA:28239,glomerular tuft,glomerular tuft,glomerulus
12397,EMAPA:28239,glomerular tuft,glomerular tuft,glomerulus
12397,EMAPA:28239,glomerular tuft,glomerular tuft,glomerulus
12414,EMAPA:28254,visceral epithelium of mature renal corpuscle,visceral epithelium of mature renal corpuscle,podocyte layer
12414,EMAPA:28254,visceral epithelium of mature renal corpuscle,visceral epithelium of mature renal corpuscle,podocyte layer
12414,EMAPA:28254,visceral epithelium of mature renal corpuscle,visceral epithelium of mature renal corpuscle,podocyte layer
12419,EMAPA:28257,Bowman's capsule,Bowman's capsule,glomerular capsule
12419,EMAPA:28257,Bowman's capsule,Bowman's capsule,glomerular capsule
12419,EMAPA:28257,Bowman's capsule,Bowman's capsule,glomerular capsule
12428,EMAPA:28263,urinary space of renal corpuscle,urinary space of renal corpuscle,Bowman's space
12428,EMAPA:28263,urinary space of renal corpuscle,urinary space of renal corpuscle,Bowman's space
12428,EMAPA:28263,urinary space of renal corpuscle,urinary space of renal corpuscle,Bowman's space
12437,EMAPA:28269,part of afferent arteriole forming the juxtaglomerular complex,part of afferent arteriole forming the juxtaglomerular complex,renin-producing cell
12437,EMAPA:28269,part of afferent arteriole forming the juxtaglomerular complex,part of afferent arteriole forming the juxtaglomerular complex,renin-producing cell
12437,EMAPA:28269,part of afferent arteriole forming the juxtaglomerular complex,part of afferent arteriole forming the juxtaglomerular complex,renin-producing cell
12437,EMAPA:28269,part of afferent arteriole forming the juxtaglomerular complex,part of afferent arteriole forming the juxtaglomerular complex,renin-producing cell
12437,EMAPA:28269,part of afferent arteriole forming the juxtaglomerular complex,part of afferent arteriole forming the juxtaglomerular complex,renin-producing cell
12437,EMAPA:28269,part of afferent arteriole forming the juxtaglomerular complex,part of afferent arteriole forming the juxtaglomerular complex,renin-producing cell
12437,EMAPA:28269,part of afferent arteriole forming the juxtaglomerular complex,part of afferent arteriole forming the juxtaglomerular complex,renin-producing cell
12437,EMAPA:28269,part of afferent arteriole forming the juxtaglomerular complex,part of afferent arteriole forming the juxtaglomerular complex,renin-producing cell
12460,EMAPA:28136,renal cortical interstitium,renal cortical interstitium,cortical stroma
12460,EMAPA:28136,renal cortical interstitium,renal cortical interstitium,cortical stroma
12515,EMAPA:28049,immature loop of Henle,immature loop of Henle,anlagen of loop of Henle
12515,EMAPA:28049,immature loop of Henle,immature loop of Henle,anlagen of loop of Henle
12608,EMAPA:28328,thin ascending limb,thin ascending limb,ascending thin limb
12608,EMAPA:28328,thin ascending limb,thin ascending limb,ascending thin limb
12608,EMAPA:28328,thin ascending limb,thin ascending limb,ascending thin limb
12613,EMAPA:28331,premacula segment of distal straight tubule,premacula segment of distal straight tubule,thick ascending limb
12613,EMAPA:28331,premacula segment of distal straight tubule,premacula segment of distal straight tubule,thick ascending limb
12613,EMAPA:28331,premacula segment of distal straight tubule,premacula segment of distal straight tubule,thick ascending limb
12644,EMAPA:28349,inner medulla,inner medulla,papilla
12657,EMAPA:28358,bend,bend of loop of Henle inner medullary portion,U-turn
12657,EMAPA:28358,bend,bend of loop of Henle inner medullary portion,U-turn
12657,EMAPA:28358,bend,bend of loop of Henle inner medullary portion,U-turn
12662,EMAPA:28361,thin ascending limb,thin ascending limb,ascending thin limb
12662,EMAPA:28361,thin ascending limb,thin ascending limb,ascending thin limb
12662,EMAPA:28361,thin ascending limb,thin ascending limb,ascending thin limb
12667,EMAPA:28364,inner medullary interstitium,inner medullary interstitium,papillary interstitium
12667,EMAPA:28364,inner medullary interstitium,inner medullary interstitium,papillary interstitium
12676,EMAPA:28370,inner medullary collecting duct,inner medullary collecting duct,papillary collecting duct
12676,EMAPA:28370,inner medullary collecting duct,inner medullary collecting duct,papillary collecting duct
12676,EMAPA:28370,inner medullary collecting duct,inner medullary collecting duct,papillary collecting duct
12715,EMAPA:28405,ureteric trunk,ureteric trunk,ureteric stalk
12715,EMAPA:28405,ureteric trunk,ureteric trunk,ureteric stalk
12832,EMAPA:28601,urothelium of bladder,urothelium of bladder,epithelium of bladder
12923,EMAPA:28679,vasculature of bladder,vasculature of bladder,blood vessel of bladder
12954,EMAPA:27615,parametanephric mesenchyme,parametanephric mesenchyme,associated mesenchyme
12979,EMAPA:27640,cloacal epithelium,cloacal epithelium,distal urethral mesenchyme
13006,EMAPA:28561,subepithelial layer,ureteral mesenchyme subepithelial layer,presumptive lamina propria
13014,EMAPA:28567,middle layer,ureteral mesenchyme middle layer,presumptive ureteral smooth muscle layer
13019,EMAPA:28570,outer layer,ureteral mesenchyme outer layer,presumptive adventitia
13026,EMAPA:28811,ureteral smooth muscle layer,ureteral smooth muscle layer,presumptive ureteral smooth muscle layer
