NPL_OID,NPL_PERSPECTIVE_FK,NPL_NODE_FK
1,Adult Kidney (GenePaint),11719
2,Adult Kidney (GenePaint),12074
3,Adult Kidney (GenePaint),12081
4,Adult Kidney (GenePaint),12088
5,Adult Kidney (GenePaint),12108
6,Adult Kidney (GenePaint),12117
7,Adult Kidney (GenePaint),12124
8,Adult Kidney (GenePaint),12131
9,Adult Kidney (GenePaint),12138
10,Adult Kidney (GenePaint),12146
11,Adult Kidney (GenePaint),12153
12,Adult Kidney (GenePaint),12161
13,Adult Kidney (GenePaint),12169
14,Adult Kidney (GenePaint),12177
15,Adult Kidney (GenePaint),12184
16,Adult Kidney (GenePaint),12191
17,Adult Kidney (GenePaint),12199
18,Adult Kidney (GenePaint),12207
19,Adult Kidney (GenePaint),12214
20,Adult Kidney (GenePaint),12221
21,Adult Kidney (GenePaint),12228
22,Adult Kidney (GenePaint),12235
23,Adult Kidney (GenePaint),12242
24,Adult Kidney (GenePaint),12250
25,Adult Kidney (GenePaint),12257
26,Adult Kidney (GenePaint),12264
27,Adult Kidney (GenePaint),12272
28,Adult Kidney (GenePaint),12280
29,Adult Kidney (GenePaint),12287
30,Adult Kidney (GenePaint),12295
31,Adult Kidney (GenePaint),12302
32,Adult Kidney (GenePaint),12306
33,Adult Kidney (GenePaint),12317
34,Adult Kidney (GenePaint),12322
35,Adult Kidney (GenePaint),12327
36,Adult Kidney (GenePaint),12341
37,Adult Kidney (GenePaint),12345
38,Adult Kidney (GenePaint),12349
39,Adult Kidney (GenePaint),12354
40,Adult Kidney (GenePaint),12358
41,Adult Kidney (GenePaint),12362
42,Adult Kidney (GenePaint),12367
43,Adult Kidney (GenePaint),12372
44,Adult Kidney (GenePaint),12376
45,Adult Kidney (GenePaint),12380
46,Adult Kidney (GenePaint),12383
47,Adult Kidney (GenePaint),12386
48,Adult Kidney (GenePaint),12389
49,Adult Kidney (GenePaint),12392
50,Adult Kidney (GenePaint),12397
51,Adult Kidney (GenePaint),12402
52,Adult Kidney (GenePaint),12406
53,Adult Kidney (GenePaint),12410
54,Adult Kidney (GenePaint),12414
55,Adult Kidney (GenePaint),12419
56,Adult Kidney (GenePaint),12424
57,Adult Kidney (GenePaint),12428
58,Adult Kidney (GenePaint),12433
59,Adult Kidney (GenePaint),12437
60,Adult Kidney (GenePaint),12441
61,Adult Kidney (GenePaint),12445
62,Adult Kidney (GenePaint),12449
63,Adult Kidney (GenePaint),12453
64,Adult Kidney (GenePaint),12460
65,Adult Kidney (GenePaint),12467
66,Adult Kidney (GenePaint),12473
67,Adult Kidney (GenePaint),12479
68,Adult Kidney (GenePaint),12483
69,Adult Kidney (GenePaint),12487
70,Adult Kidney (GenePaint),12493
71,Adult Kidney (GenePaint),12497
72,Adult Kidney (GenePaint),12515
73,Adult Kidney (GenePaint),12528
74,Adult Kidney (GenePaint),12539
75,Adult Kidney (GenePaint),12542
76,Adult Kidney (GenePaint),12545
77,Adult Kidney (GenePaint),12548
78,Adult Kidney (GenePaint),12551
79,Adult Kidney (GenePaint),12557
80,Adult Kidney (GenePaint),12563
81,Adult Kidney (GenePaint),12583
82,Adult Kidney (GenePaint),12600
83,Adult Kidney (GenePaint),12604
84,Adult Kidney (GenePaint),12608
85,Adult Kidney (GenePaint),12613
86,Adult Kidney (GenePaint),12622
87,Adult Kidney (GenePaint),12628
88,Adult Kidney (GenePaint),12640
89,Adult Kidney (GenePaint),12644
90,Adult Kidney (GenePaint),12649
91,Adult Kidney (GenePaint),12653
92,Adult Kidney (GenePaint),12657
93,Adult Kidney (GenePaint),12662
94,Adult Kidney (GenePaint),12667
95,Adult Kidney (GenePaint),12676
96,Adult Kidney (GenePaint),13125
97,Adult Kidney (GenePaint),13133
98,Adult Kidney (GenePaint),26945
99,Adult Kidney (GenePaint),26973
100,Adult Kidney (GenePaint),27001
101,Adult Kidney (GenePaint),27007
102,Adult Kidney (GenePaint),27035
103,Adult Kidney (GenePaint),28769
104,Adult Kidney (GenePaint),28770
105,Adult Kidney (GenePaint),28771
106,Adult Kidney (GenePaint),28772
107,Adult Kidney (GenePaint),28773
108,Adult Kidney (GenePaint),28774
109,Adult Kidney (GenePaint),28775
110,Adult Kidney (GenePaint),28777
111,Adult Kidney (GenePaint),28778
112,Adult Kidney (GenePaint),28779
113,Adult Kidney (GenePaint),28780
114,Adult Kidney (GenePaint),28788
115,Adult Kidney (GenePaint),28789
116,Adult Kidney (GenePaint),28790
117,Adult Kidney (GenePaint),28792
118,Adult Kidney (GenePaint),28793
119,Adult Kidney (GenePaint),28794
120,Adult Kidney (GenePaint),28804
121,Adult Kidney (GenePaint),30106
122,Adult Kidney (GenePaint),30107
123,Adult Kidney (GenePaint),30108
124,Adult Kidney (GenePaint),30109
125,Adult Kidney (GenePaint),30111
126,Adult Kidney (GenePaint),30112
127,Adult Kidney (GenePaint),30113
128,Adult Kidney (GenePaint),30114
129,Adult Kidney (GenePaint),30115
130,Adult Kidney (GenePaint),30116
131,Adult Kidney (GenePaint),30117
132,Adult Kidney (GenePaint),31624
133,Adult Kidney (GenePaint),31625
134,Adult Kidney (GenePaint),31626
135,Adult Kidney (GenePaint),31627
136,Adult Kidney (GenePaint),31628
137,Adult Kidney (GenePaint),31629
138,Adult Kidney (GenePaint),31630
139,Adult Kidney (GenePaint),31631
140,Adult Kidney (GenePaint),31632
141,Adult Kidney (GenePaint),31633
142,Adult Kidney (GenePaint),31634
143,Adult Kidney (GenePaint),31635
144,Adult Kidney (GenePaint),31636
145,Adult Kidney (GenePaint),31637
146,Adult Kidney (GenePaint),31638
147,Adult Kidney (GenePaint),31639
148,Adult Kidney (GenePaint),31640
149,Adult Kidney (GenePaint),31641
150,Adult Kidney (GenePaint),31642
151,Adult Kidney (GenePaint),31643
152,Adult Kidney (GenePaint),31644
153,Adult Kidney (GenePaint),31645
154,Adult Kidney (GenePaint),31646
155,Adult Kidney (GenePaint),31647
156,Adult Kidney (GenePaint),31648
157,Adult Kidney (GenePaint),31649
158,Adult Kidney (GenePaint),31650
159,Adult Kidney (GenePaint),31651
160,Adult Kidney (GenePaint),31652
161,Adult Kidney (GenePaint),31653
162,Adult Kidney (GenePaint),31654
163,Adult Kidney (GenePaint),31655
164,Adult Kidney (GenePaint),31720
165,Adult Kidney (GenePaint),31721
166,Adult Kidney (GenePaint),31722
167,Adult Kidney (GenePaint),31723
168,Adult Kidney (GenePaint),31724
169,Adult Kidney (GenePaint),31725
170,Adult Kidney (GenePaint),32617
171,Adult Kidney (GenePaint),32618
172,Adult Kidney (GenePaint),32619
173,Adult Kidney (GenePaint),32620
174,Adult Kidney (GenePaint),32621
175,Adult Kidney (GenePaint),32622
176,Adult Kidney (GenePaint),32623
177,Adult Kidney (GenePaint),32627
178,Adult Kidney (GenePaint),32646
179,Adult Kidney (GenePaint),32648
180,Adult Kidney (GenePaint),32649
181,Adult Kidney (GenePaint),32650
182,Adult Kidney (GenePaint),32651
183,Adult Kidney (GenePaint),32653
184,Adult Kidney (GenePaint),32654
185,Adult Kidney (GenePaint),32672
186,Adult Kidney (GenePaint),32676
187,Adult Kidney (GenePaint),32677
188,Renal,10381
189,Renal,10389
190,Renal,10396
191,Renal,10400
192,Renal,10407
193,Renal,10415
194,Renal,10419
195,Renal,10422
196,Renal,10428
197,Renal,10434
198,Renal,10440
199,Renal,10446
200,Renal,10450
201,Renal,10454
202,Renal,10462
203,Renal,10468
204,Renal,10473
205,Renal,10478
206,Renal,10482
207,Renal,10487
208,Renal,10492
209,Renal,10510
210,Renal,10513
211,Renal,10516
212,Renal,10519
213,Renal,10523
214,Renal,10527
215,Renal,10531
216,Renal,10534
217,Renal,10537
218,Renal,10541
219,Renal,10546
220,Renal,10550
221,Renal,10560
222,Renal,11673
223,Renal,11683
224,Renal,11719
225,Renal,11747
226,Renal,11750
227,Renal,11754
228,Renal,11757
229,Renal,11760
230,Renal,11764
231,Renal,11768
232,Renal,11772
233,Renal,11775
234,Renal,11779
235,Renal,11912
236,Renal,11915
237,Renal,11922
238,Renal,11928
239,Renal,11932
240,Renal,11936
241,Renal,11940
242,Renal,11944
243,Renal,11947
244,Renal,11951
245,Renal,11955
246,Renal,11959
247,Renal,11962
248,Renal,11965
249,Renal,11969
250,Renal,11973
251,Renal,11976
252,Renal,11979
253,Renal,11982
254,Renal,11985
255,Renal,11988
256,Renal,11991
257,Renal,11994
258,Renal,11997
259,Renal,12004
260,Renal,12008
261,Renal,12023
262,Renal,12039
263,Renal,12048
264,Renal,12057
265,Renal,12074
266,Renal,12081
267,Renal,12088
268,Renal,12108
269,Renal,12117
270,Renal,12124
271,Renal,12131
272,Renal,12138
273,Renal,12146
274,Renal,12153
275,Renal,12161
