ANO_PUBLIC_ID,POP_PERSPECTIVE_FK,ANO_COMPONENT_NAME
EMAPA:28230,"Adult Kidney (GenePaint)","afferent arteriole of maturing renal corpuscle"
EMAPA:31281,"Adult Kidney (GenePaint)","anlage of loop of Henle of cortical renal tubule"
EMAPA:28215,"Adult Kidney (GenePaint)","arcuate artery"
EMAPA:28221,"Adult Kidney (GenePaint)","arcuate vein"
EMAPA:27925,"Adult Kidney (GenePaint)","associated interstitium of capillary loop renal corpuscle"
EMAPA:31021,"Adult Kidney (GenePaint)","bend of immature loop of Henle"
EMAPA:28358,"Adult Kidney (GenePaint)","bend of loop of Henle inner medullary portion"
EMAPA:28257,"Adult Kidney (GenePaint)","Bowman's capsule of mature renal corpuscle"
EMAPA:27973,"Adult Kidney (GenePaint)","Bowman's capsule of maturing renal corpuscle"
EMAPA:27907,"Adult Kidney (GenePaint)","capillary loop renal corpuscle"
EMAPA:35199,"Adult Kidney (GenePaint)","capillary loop renal corpuscle presumptive endothelium"
EMAPA:28407,"Adult Kidney (GenePaint)","collecting duct"
EMAPA:27835,"Adult Kidney (GenePaint)","comma-shaped body"
EMAPA:28130,"Adult Kidney (GenePaint)","cortical collecting duct"
EMAPA:18976,"Adult Kidney (GenePaint)","cortical renal tubule"
EMAPA:31571,"Adult Kidney (GenePaint)","cortical renal tubule of capillary loop nephron group"
EMAPA:31566,"Adult Kidney (GenePaint)","cortical renal tubule of mature nephron group"
EMAPA:31570,"Adult Kidney (GenePaint)","cortical renal tubule of maturing nephron group"
EMAPA:28035,"Adult Kidney (GenePaint)","developing arterial vasculature of cortex"
EMAPA:28071,"Adult Kidney (GenePaint)","developing arterial vasculature of medulla"
EMAPA:28506,"Adult Kidney (GenePaint)","developing capillary loop stage nephron group"
EMAPA:28039,"Adult Kidney (GenePaint)","developing capillary of cortex"
EMAPA:28075,"Adult Kidney (GenePaint)","developing capillary of medulla"
EMAPA:28029,"Adult Kidney (GenePaint)","developing vasculature of cortex"
EMAPA:28069,"Adult Kidney (GenePaint)","developing vasculature of medulla"
EMAPA:28037,"Adult Kidney (GenePaint)","developing venous vasculature of cortex"
