ANO_PUBLIC_ID,POP_PERSPECTIVE_FK,ANO_COMPONENT_NAME
EMAPA:28831,Renal,"adventitia of fundus"
EMAPA:30144,Renal,"adventitia of neck"
EMAPA:28836,Renal,"adventitia of trigone"
EMAPA:28114,Renal,"adventitia of ureter"
EMAPA:28266,Renal,"afferent arteriole of mature renal corpuscle"
EMAPA:28230,Renal,"afferent arteriole of maturing renal corpuscle"
EMAPA:28547,Renal,allantois
EMAPA:27786,Renal,"anlage of loop of Henle"
EMAPA:31281,Renal,"anlage of loop of Henle of cortical renal tubule"
EMAPA:27566,Renal,"anterior gonadal mesenchyme"
EMAPA:28215,Renal,"arcuate artery"
EMAPA:28221,Renal,"arcuate vein"
EMAPA:27925,Renal,"associated interstitium of capillary loop renal corpuscle"
EMAPA:32274,Renal,"basal cell layer of bladder"
EMAPA:32267,Renal,"basal cell layer of dorsal pelvic urethra of female"
EMAPA:32260,Renal,"basal cell layer of dorsal pelvic urethra of male"
EMAPA:32271,Renal,"basal cell layer of prostatic urethra"
EMAPA:28806,Renal,"basal cell layer of ureter"
EMAPA:32292,Renal,"basal cell layer of ventral pelvic urethra of female"
EMAPA:32261,Renal,"basal cell layer of ventral pelvic urethra of male"
EMAPA:31021,Renal,"bend of immature loop of Henle"
EMAPA:28358,Renal,"bend of loop of Henle inner medullary portion"
EMAPA:18321,Renal,bladder
EMAPA:35173,Renal,"bladder fundus region"
EMAPA:35897,Renal,"bladder mucosa"
EMAPA:35174,Renal,"bladder trigone region"
EMAPA:35175,Renal,"bladder wall"
EMAPA:28257,Renal,"Bowman's capsule of mature renal corpuscle"
EMAPA:27973,Renal,"Bowman's capsule of maturing renal corpuscle"
EMAPA:29639,Renal,"bulbar part of urethra of male"
EMAPA:27621,Renal,"cap mesenchyme"
EMAPA:17645,Renal,"cap mesenchyme"
EMAPA:27735,Renal,"cap mesenchyme"
EMAPA:27907,Renal,"capillary loop renal corpuscle"
EMAPA:27770,Renal,"capillary loop renal corpuscle"
EMAPA:27776,Renal,"capillary loop renal corpuscle associated interstitium"
EMAPA:35199,Renal,"capillary loop renal corpuscle presumptive endothelium"
EMAPA:30571,Renal,"caudal mesonephric tubule"
EMAPA:27619,Renal,"caudal paramesonephric mesenchyme"
EMAPA:30895,Renal,"caudal urethra"
EMAPA:27568,Renal,"central gonadal mesenchyme"
EMAPA:27638,Renal,cloaca
EMAPA:27573,Renal,cloaca
EMAPA:27581,Renal,"cloaca mesenchyme"
EMAPA:27642,Renal,"cloaca mesenchyme"
EMAPA:27577,Renal,"cloacal epithelium"
EMAPA:27640,Renal,"cloacal epithelium"
