EMAPA:29765,Urogenital,adventitia of caput of epididymis
EMAPA:29753,Urogenital,adventitia of cauda of epididymis
EMAPA:29933,Urogenital,adventitia of cervix uteri
EMAPA:29759,Urogenital,adventitia of corpus of epididymis
EMAPA:29767,Urogenital,adventitia of ductus deferens
EMAPA:30443,Urogenital,adventitia of epididymis
EMAPA:28831,Urogenital,adventitia of fundus
EMAPA:29939,Urogenital,adventitia of lower part of vagina
EMAPA:30144,Urogenital,adventitia of neck
EMAPA:29775,Urogenital,adventitia of seminal vesicle
EMAPA:28836,Urogenital,adventitia of trigone
EMAPA:29945,Urogenital,adventitia of upper part of vagina
EMAPA:28114,Urogenital,adventitia of ureter
EMAPA:29925,Urogenital,adventitia of uterus
EMAPA:31003,Urogenital,adventitia of vagina
EMAPA:28266,Urogenital,afferent arteriole of mature renal corpuscle
EMAPA:28230,Urogenital,afferent arteriole of maturing renal corpuscle
EMAPA:28547,Urogenital,allantois
EMAPA:35123,Urogenital,ampullary gland
EMAPA:27786,Urogenital,anlage of loop of Henle
EMAPA:31281,Urogenital,anlage of loop of Henle of cortical renal tubule
EMAPA:27653,Urogenital,anterior gonadal mesenchyme
EMAPA:27566,Urogenital,anterior gonadal mesenchyme
EMAPA:29794,Urogenital,anterior prostate gland
EMAPA:29796,Urogenital,anterior prostatic epithelium
EMAPA:29802,Urogenital,anterior prostatic interstitium
EMAPA:30789,Urogenital,antrum of mature follicle
EMAPA:30771,Urogenital,antrum of tertiary follicle
EMAPA:29878,Urogenital,apoptotic germinal cell
EMAPA:19086,Urogenital,appendix epididymis
EMAPA:19087,Urogenital,appendix testis
EMAPA:28215,Urogenital,arcuate artery
EMAPA:28221,Urogenital,arcuate vein
EMAPA:27925,Urogenital,associated interstitium of capillary loop renal corpuscle
EMAPA:29874,Urogenital,atretic follicle
EMAPA:32274,Urogenital,basal cell layer of bladder
EMAPA:32267,Urogenital,basal cell layer of dorsal pelvic urethra of female
EMAPA:32260,Urogenital,basal cell layer of dorsal pelvic urethra of male
EMAPA:32271,Urogenital,basal cell layer of prostatic urethra
EMAPA:28806,Urogenital,basal cell layer of ureter
EMAPA:32292,Urogenital,basal cell layer of ventral pelvic urethra of female
EMAPA:32261,Urogenital,basal cell layer of ventral pelvic urethra of male
EMAPA:29735,Urogenital,basal epidermal layer of scrotum
EMAPA:29800,Urogenital,basal epithelium of anterior prostate
EMAPA:29814,Urogenital,basal epithelium of dorsal prostate
EMAPA:29828,Urogenital,basal epithelium of lateral prostate
EMAPA:29842,Urogenital,basal epithelium of ventral prostate
EMAPA:31021,Urogenital,bend of immature loop of Henle
EMAPA:28358,Urogenital,bend of loop of Henle inner medullary portion
EMAPA:18321,Urogenital,bladder
EMAPA:35173,Urogenital,bladder fundus region
EMAPA:35897,Urogenital,bladder mucosa
EMAPA:35174,Urogenital,bladder trigone region
EMAPA:35175,Urogenital,bladder wall
EMAPA:28257,Urogenital,Bowman's capsule of mature renal corpuscle
EMAPA:27973,Urogenital,Bowman's capsule of maturing renal corpuscle
EMAPA:29639,Urogenital,bulbar part of urethra of male
EMAPA:19286,Urogenital,bulbourethral gland
EMAPA:27735,Urogenital,cap mesenchyme
EMAPA:27621,Urogenital,cap mesenchyme
EMAPA:17645,Urogenital,cap mesenchyme
EMAPA:27907,Urogenital,capillary loop renal corpuscle
EMAPA:27770,Urogenital,capillary loop renal corpuscle
EMAPA:27776,Urogenital,capillary loop renal corpuscle associated interstitium
EMAPA:35199,Urogenital,capillary loop renal corpuscle presumptive endothelium
EMAPA:19291,Urogenital,caput epididymis
EMAPA:19292,Urogenital,cauda epididymis
EMAPA:30574,Urogenital,caudal mesonephric tubule
EMAPA:30571,Urogenital,caudal mesonephric tubule
EMAPA:30553,Urogenital,caudal mesonephric tubule of female
EMAPA:30540,Urogenital,caudal mesonephric tubule of male
EMAPA:27619,Urogenital,caudal paramesonephric mesenchyme
EMAPA:30895,Urogenital,caudal urethra
EMAPA:27655,Urogenital,central gonadal mesenchyme
EMAPA:27568,Urogenital,central gonadal mesenchyme
EMAPA:29927,Urogenital,cervix uteri
EMAPA:30055,Urogenital,circular muscle layer of ductus deferens
EMAPA:31268,Urogenital,circular muscle layer of infundibulum
EMAPA:30051,Urogenital,circular muscle layer of rest of oviduct
EMAPA:30819,Urogenital,clitoris
EMAPA:27638,Urogenital,cloaca
EMAPA:27573,Urogenital,cloaca
EMAPA:27581,Urogenital,cloaca mesenchyme
EMAPA:27642,Urogenital,cloaca mesenchyme
EMAPA:27577,Urogenital,cloacal epithelium
EMAPA:27640,Urogenital,cloacal epithelium
EMAPA:35245,Urogenital,coagulating gland
EMAPA:28934,Urogenital,coelomic epithelium of female mesonephros
EMAPA:17384,Urogenital,coelomic epithelium of gonad
EMAPA:27564,Urogenital,coelomic epithelium of gonad primordium
EMAPA:30460,Urogenital,coelomic epithelium of male mesonephros
EMAPA:35249,Urogenital,coelomic epithelium of reproductive system
EMAPA:17973,Urogenital,coelomic epithelium of testis
EMAPA:29122,Urogenital,coelomic vessel
EMAPA:29605,Urogenital,coelomic vessel
EMAPA:28407,Urogenital,collecting duct
EMAPA:27835,Urogenital,comma-shaped body
EMAPA:27681,Urogenital,comma-shaped body
EMAPA:29888,Urogenital,corpus albicans
EMAPA:19293,Urogenital,corpus epididymis
EMAPA:29886,Urogenital,corpus luteum
EMAPA:29856,Urogenital,corpus spongiosum
EMAPA:29850,Urogenital,corpus spongiosum
EMAPA:28130,Urogenital,cortical collecting duct
EMAPA:29009,Urogenital,cortical component of mesenchymal stroma
EMAPA:18976,Urogenital,cortical renal tubule
EMAPA:31571,Urogenital,cortical renal tubule of capillary loop nephron group
EMAPA:31566,Urogenital,cortical renal tubule of mature nephron group
EMAPA:31570,Urogenital,cortical renal tubule of maturing nephron group
EMAPA:30576,Urogenital,cranial mesonephric tubule
EMAPA:30562,Urogenital,cranial mesonephric tubule
EMAPA:30544,Urogenital,cranial mesonephric tubule of female
EMAPA:30556,Urogenital,cranial mesonephric tubule of male
EMAPA:30528,Urogenital,cranial mesonephric tubule of male
EMAPA:30068,Urogenital,cranial suspensory ligament
EMAPA:31250,Urogenital,cremaster muscle
EMAPA:19169,Urogenital,crus of clitoris
EMAPA:30821,Urogenital,crus of clitoris
EMAPA:19294,Urogenital,crus penis
EMAPA:30783,Urogenital,cumulus of mature follicle
EMAPA:29868,Urogenital,cumulus of secondary follicle
EMAPA:30773,Urogenital,cumulus of tertiary follicle
EMAPA:35267,Urogenital,cumulus oophorus
EMAPA:35269,Urogenital,decidua
EMAPA:35270,Urogenital,decidua basalis
EMAPA:35271,Urogenital,decidua capsularis
EMAPA:29161,Urogenital,degenerating mesonephric portion of male paramesonephric duct
EMAPA:28981,Urogenital,degenerating mesonephric portion of nephric duct of female
EMAPA:28978,Urogenital,degenerating mesonephric tubule of female
EMAPA:35273,Urogenital,degenerating paramesonephric duct of male
EMAPA:29196,Urogenital,degenerating rest of paramesonephric duct of male
EMAPA:29739,Urogenital,dermal layer of scrotum
EMAPA:29741,Urogenital,dermal layer of scrotum hair follicle
EMAPA:29743,Urogenital,dermal layer of scrotum sweat gland
EMAPA:28637,Urogenital,detrusor muscle of bladder
EMAPA:28643,Urogenital,detrusor muscle of fundus
EMAPA:30123,Urogenital,detrusor muscle of neck
EMAPA:28649,Urogenital,detrusor muscle of trigone
EMAPA:28035,Urogenital,developing arterial vasculature of cortex
EMAPA:28071,Urogenital,developing arterial vasculature of medulla
EMAPA:28506,Urogenital,developing capillary loop stage nephron group
EMAPA:28039,Urogenital,developing capillary of cortex
EMAPA:28075,Urogenital,developing capillary of medulla
EMAPA:31204,Urogenital,developing vasculature of caput epididymis
EMAPA:31194,Urogenital,developing vasculature of cauda epididymis
EMAPA:31199,Urogenital,developing vasculature of corpus epididymis
EMAPA:28029,Urogenital,developing vasculature of cortex
EMAPA:31188,Urogenital,developing vasculature of ductus deferens
EMAPA:31182,Urogenital,developing vasculature of epididymis
EMAPA:31503,Urogenital,developing vasculature of female genital tubercle
EMAPA:31538,Urogenital,developing vasculature of female mesonephros
EMAPA:31578,Urogenital,developing vasculature of genitourinary system
EMAPA:31224,Urogenital,developing vasculature of lower part of vagina
EMAPA:31510,Urogenital,developing vasculature of male genital tubercle
EMAPA:31537,Urogenital,developing vasculature of male mesonephros
EMAPA:28069,Urogenital,developing vasculature of medulla
EMAPA:27794,Urogenital,developing vasculature of metanephros
EMAPA:28888,Urogenital,developing vasculature of ovary
EMAPA:31214,Urogenital,developing vasculature of oviduct
EMAPA:31539,Urogenital,developing vasculature of primitive bladder
EMAPA:31580,Urogenital,developing vasculature of reproductive system
EMAPA:31564,Urogenital,developing vasculature of reproductive system group
EMAPA:29114,Urogenital,developing vasculature of the testis
EMAPA:31219,Urogenital,developing vasculature of upper part of vagina
EMAPA:31579,Urogenital,developing vasculature of urinary system
EMAPA:31563,Urogenital,developing vasculature of urinary system group
EMAPA:31532,Urogenital,developing vasculature of urogenital sinus
EMAPA:31209,Urogenital,developing vasculature of uterine horn
EMAPA:31229,Urogenital,developing vasculature of vagina
EMAPA:31235,Urogenital,developing vasculature system of epididymis
EMAPA:28037,Urogenital,developing venous vasculature of cortex
EMAPA:28073,Urogenital,developing venous vasculature of medulla
EMAPA:28393,Urogenital,distal convoluted tubule
EMAPA:30484,Urogenital,distal genital tubercle of female
EMAPA:29205,Urogenital,distal genital tubercle of male
EMAPA:29641,Urogenital,distal region of urethra of male
EMAPA:31582,Urogenital,distal renal vesicle
EMAPA:31548,Urogenital,distal renal vesicle
EMAPA:27871,Urogenital,distal segment of s-shaped body
EMAPA:27760,Urogenital,distal segment of s-shaped body
EMAPA:29671,Urogenital,distal straight tubule of outer stripe of outer medulla
EMAPA:28396,Urogenital,distal straight tubule of renal cortex
EMAPA:35288,Urogenital,distal urethral epithelium
EMAPA:31536,Urogenital,distal urethral epithelium of female
EMAPA:31507,Urogenital,distal urethral epithelium of male
EMAPA:30077,Urogenital,dorsal genital swelling
EMAPA:31572,Urogenital,dorsal mesenchyme of pelvic urethra
EMAPA:29808,Urogenital,dorsal prostate gland
EMAPA:29810,Urogenital,dorsal prostatic epithelium
EMAPA:29816,Urogenital,dorsal prostatic interstitium
EMAPA:18681,Urogenital,ductus deferens
EMAPA:35298,Urogenital,ductus deferens blood vessel
EMAPA:35299,Urogenital,ductus deferens circular muscle layer
EMAPA:35300,Urogenital,ductus deferens longitudinal muscle layer
EMAPA:28390,Urogenital,early distal tubule
EMAPA:27788,Urogenital,early distal tubule
EMAPA:28007,Urogenital,early distal tubule
EMAPA:31511,Urogenital,early distal tubule of capillary loop nephron
EMAPA:31521,Urogenital,early distal tubule of capillary loop nephron
EMAPA:31513,Urogenital,early distal tubule of maturing nephron
EMAPA:31514,Urogenital,early distal tubule of maturing nephron
EMAPA:17954,Urogenital,early nephron group
EMAPA:28003,Urogenital,early proximal tubule
EMAPA:27784,Urogenital,early proximal tubule
EMAPA:28284,Urogenital,early proximal tubule
EMAPA:31543,Urogenital,early proximal tubule of capillary loop nephron
EMAPA:31544,Urogenital,early proximal tubule of capillary loop nephron
EMAPA:31542,Urogenital,early proximal tubule of maturing nephron
EMAPA:31512,Urogenital,early proximal tubule of maturing nephron
EMAPA:28500,Urogenital,early tubule
EMAPA:28233,Urogenital,efferent arteriole
EMAPA:28275,Urogenital,efferent arteriole
EMAPA:18993,Urogenital,efferent duct of seminal vesicle
EMAPA:19088,Urogenital,ejaculatory duct
EMAPA:29917,Urogenital,endometrium
EMAPA:35307,Urogenital,endometrium epithelium
EMAPA:35308,Urogenital,endometrium glandular epithelium
EMAPA:35309,Urogenital,endometrium luminal epithelium
EMAPA:35310,Urogenital,endometrium stroma
EMAPA:29995,Urogenital,endothelium of renal artery
EMAPA:30011,Urogenital,endothelium of renal vein
EMAPA:29733,Urogenital,epidermal layer of scrotum
EMAPA:35316,Urogenital,epididymal fat pad
EMAPA:19290,Urogenital,epididymis
EMAPA:29790,Urogenital,epithelial component of bulbourethral gland
EMAPA:29929,Urogenital,epithelial layer of cervix uteri
EMAPA:30825,Urogenital,epithelial layer of crus of clitoris
EMAPA:29852,Urogenital,epithelial layer of crus penis
EMAPA:29747,Urogenital,epithelial layer of efferent duct
