ANO_PUBLIC_ID,POP_PERSPECTIVE_FK,ANO_COMPONENT_NAME
EMAPA:16685,"Whole mouse","1st arch artery"
EMAPA:16118,"Whole mouse","1st branchial arch"
EMAPA:16126,"Whole mouse","1st branchial arch ectoderm"
EMAPA:16127,"Whole mouse","1st branchial arch endoderm"
EMAPA:16382,"Whole mouse","1st branchial arch mandibular component"
EMAPA:16383,"Whole mouse","1st branchial arch mandibular component ectoderm"
EMAPA:16384,"Whole mouse","1st branchial arch mandibular component endoderm"
EMAPA:16385,"Whole mouse","1st branchial arch mandibular component mesenchyme"
EMAPA:16386,"Whole mouse","1st branchial arch mandibular component mesenchyme derived from head mesoderm"
EMAPA:16387,"Whole mouse","1st branchial arch mandibular component mesenchyme derived from neural crest"
EMAPA:16388,"Whole mouse","1st branchial arch maxillary component"
EMAPA:16389,"Whole mouse","1st branchial arch maxillary component ectoderm"
EMAPA:16390,"Whole mouse","1st branchial arch maxillary component endoderm"
EMAPA:16391,"Whole mouse","1st branchial arch maxillary component mesenchyme"
EMAPA:16392,"Whole mouse","1st branchial arch maxillary component mesenchyme derived from head mesoderm"
EMAPA:16393,"Whole mouse","1st branchial arch maxillary component mesenchyme derived from neural crest"
EMAPA:16394,"Whole mouse","1st branchial arch maxillary-mandibular groove"
EMAPA:16395,"Whole mouse","1st branchial arch maxillary-mandibular groove ectoderm"
EMAPA:16128,"Whole mouse","1st branchial arch mesenchyme"
EMAPA:16130,"Whole mouse","1st branchial arch mesenchyme derived from head mesoderm"
EMAPA:16129,"Whole mouse","1st branchial arch mesenchyme derived from neural crest"
EMAPA:16119,"Whole mouse","1st branchial groove"
EMAPA:16120,"Whole mouse","1st branchial groove ectoderm"
EMAPA:17241,"Whole mouse","1st branchial groove epithelium"
EMAPA:16121,"Whole mouse","1st branchial membrane"
EMAPA:16122,"Whole mouse","1st branchial membrane ectoderm"
EMAPA:16123,"Whole mouse","1st branchial membrane endoderm"
EMAPA:16124,"Whole mouse","1st branchial pouch"
EMAPA:16125,"Whole mouse","1st branchial pouch endoderm"
EMAPA:16036,"Whole mouse","2-cell stage embryo"
EMAPA:16686,"Whole mouse","2nd arch artery"
EMAPA:16272,"Whole mouse","2nd branchial arch"
EMAPA:16277,"Whole mouse","2nd branchial arch ectoderm"
EMAPA:16278,"Whole mouse","2nd branchial arch endoderm"
EMAPA:16882,"Whole mouse","2nd branchial arch epithelium"
EMAPA:16279,"Whole mouse","2nd branchial arch mesenchyme"
EMAPA:16280,"Whole mouse","2nd branchial arch mesenchyme derived from head mesoderm"
EMAPA:16281,"Whole mouse","2nd branchial arch mesenchyme derived from neural crest"
EMAPA:16396,"Whole mouse","2nd branchial groove"
EMAPA:16397,"Whole mouse","2nd branchial groove ectoderm"
EMAPA:16273,"Whole mouse","2nd branchial membrane"
EMAPA:16398,"Whole mouse","2nd branchial membrane ectoderm"
EMAPA:16274,"Whole mouse","2nd branchial membrane endoderm"
EMAPA:16275,"Whole mouse","2nd branchial pouch"
EMAPA:16276,"Whole mouse","2nd branchial pouch endoderm"
EMAPA:16687,"Whole mouse","3rd arch artery"
EMAPA:16399,"Whole mouse","3rd branchial arch"
EMAPA:16400,"Whole mouse","3rd branchial arch ectoderm"
EMAPA:16401,"Whole mouse","3rd branchial arch endoderm"
EMAPA:16402,"Whole mouse","3rd branchial arch mesenchyme"
